source	syllabary	pronunciation	definition
ced	ᎠᎦᏖᎷᎲᏍᎦ	a¹kte²lu²hṿ³sga	he's hitting him on the eye
ced	ᎠᎦᏖᎾᏍᏗᎢ	ạ²kte²³na³²sdi⁴ɂi	scenery
ced	ᎠᎦᏖᏃᎭ	a¹kte³nọ²ha	he's looking around
ced	ᎠᎦᏘᎭ	a¹ktị²ha	he's peeking through
ced	ᎠᎦᏘᏏ	ạ²kti²si	1.n.right position, right hand,  2. adj. right-handed.
ced	ᎠᎦᏘᏯ	a¹kti²³ya	he's waiting for him/it
ced	ᎠᎦᏘᏱ	ạ²kti⁴yi	guard
ced	ᎠᎦᏙᏗ	ạktoh²di	telescope
ced	ᎠᎦᏙᎲᏍᎦ	a¹kto³²hṿ²sga	he's becoming wise
ced	ᎠᎦᏙᎵ	ạ²kto⁴li	his eye
ced	ᎠᎦᏙᏍᏗ	a¹kto²³sdi	he's looking at him/it
ced	ᎠᎦᏙᎥᎯᏍᏗ	ạ²ktọ²ɂṿ²hị³sdi	wisdom
ced	ᎠᎦᏛᎴᏍᎦ	a¹ktv³le²sga	he/it is going through it
ced	ᎠᎫᎩᎠ	a¹ku²³gị³ɂa	he's dipping liquid
ced	ᎠᎫᎩᏍᏗ	ạ²ku²³gi⁴sdi	dipper
ced	ᎠᏈᏱᎭ	a¹kwị²yị³ha	he's paying
ced	ᎠᏈᏴᎡᎭ	a¹kwị²yv³ɂe²ha	he's paying him
ced	ᎠᏈᏍᏙ	ạ²kwsdo	pillow
ced	ᎠᎳᏍᏓᎡᎭ	a¹la³²sdạ²ɂe²ha	he's tromping on him/it,   he's speaking badly of him
ced	ᎠᎳᏍᏛᏍᎦ	a¹la³²sdṿ²sga	he's stepping on him/it
ced	ᎠᎳᏍᎦᎵᎭ	a¹la³²sgạ²lị³ha	he's playing ball
ced	ᎠᎳᏍᎦᎵᏍᎩ	ạ²la¹sgạ²li⁴sgi	ball player
ced	ᎠᎳᏍᎬᎠ	a¹la³²sgṿ²ɂa	he's taking a step
ced	ᎠᎳᏑᏟᏗ	ạ²la¹suhl²³di	law suit
ced	ᎠᎳᏑᎶ	ạ²la¹su²³lo	shoe
ced	ᎠᎴ	ạ²le	almost
ced	ᎠᎴ	ạ²le	and, or
ced	ᎠᎴᏗᎭ	a¹leh²dị³ha	he's placing a long object in an upright position.
ced	ᎠᎴᎲᏍᎦ	a¹le²hṿ³sga	he's standing in a certain spot.
ced	ᎠᎴᏫᏍᏗᎭ	a¹le²hwị²sdị³ha	he/it is stopping
ced	ᎠᎴᏫᏍᏙᏗᎭ	a¹le²hwị²sdoh³dị³ha	he's stopping him/it
ced	ᎠᎴᏂᎭ	a¹le²nị³ha	he's starting/beginning.
ced	ᎠᎵᏟᎭ	a¹lị²dlị³ha	it's boiling
ced	ᎠᎵ	a²li	sweat
ced	ᎠᎵᎬᏓᏃᏍᏙᏗ	ạ²lị²gv²dạ²no²³sdoh²di	headband
ced	ᎠᎵᎬᏚᎶ	ạ²lị²gv²du²lo	mask
ced	ᎠᎵᎮᎵᏤᎭ	a¹li²he²³li³²chẹ²ha	he's thanking him
ced	ᎠᎵᎮᎵᎦ	a¹li²he²³li³²ga	he's happy/thankful
ced	ᎠᎵᎢ	a²lị²ɂi	friendship
ced	ᎠᎵᎢᏗᎠ	a¹lị³ɂi²dị³ɂa	he's exchanging/trading it
ced	ᎠᎵᏘᎠ	a¹lị²ti³ɂa	he's running away, he's escaping
ced	ᎠᎵᏰᏑᎶ	ạ²lị²ye¹su²lo	glove
ced	ᎠᎵᏰᏑᏍᏘᎩᎠ	a¹lị²ye³²su²stgi³ɂa	he's taking his ring off
ced	ᎠᎵᏰᏑᏍᏙ	ạ²lị²ye¹su²³sto	ring
ced	ᎠᎵᏰᏑᏍᏛᏍᎦ	a¹lị²ye³²su²stṿ³sga	he's putting a ring on his finger
ced	ᎠᎵᏲ	a²li²³yo	sock
ced	ᎠᎵᏥᏈᏍᎦ	a¹lji³kwsga	he's spitting
ced	ᎠᎵᏌᎳᏗᎠ	al¹sạ²lạ²dị³ɂa	he, it's ascending, raising
ced	ᎠᎵᏍᏓᏴᏗ	al³sdayh¹di	1. food  2. groceries
ced	ᎠᎵᏍᏓᏴᎲᏍᎦ	al¹sda³²yv²hṿ³sga	he's eating a meal
ced	ᎠᎵᏍᏕᎸᏙᏗ	al²sdehl²³doh²di	aid, assistance (financial).
ced	ᎠᎵᏍᏕᎵᎭ	al¹sde²lị³ha	he's helping.
ced	ᎠᎵᏍᏚᎴᎠ	al¹sdu²³lẹ³ɂa	he's taking off his cap.
ced	ᎠᎵᏍᏚᎴᎭ	al¹sdu²³le³ha	he's washing his hair
ced	ᎠᎵᏍᏚᎵᎠ	al¹sdu²³lị³ɂa	he's putting on a cap
ced	ᎠᎵᏍᏚᎶ	al²sdu²lo	cap
ced	ᎠᎵᏍᏛᏡᏍᎦ	al¹sdv²hlụ³sga	he's taking a seat
ced	ᎠᎵᏍᏛᏂᎭ	al¹sdv²hnị³ha	he's shaking his head
ced	ᎠᎵᏍᎩᎠ	al¹sgi³ɂa	he's dancing
ced	ᎠᎵᏍᎪᎸᏓᏁᎭ	al¹sgohl²da³²nẹ²ha	he's permitting him
ced	ᎠᎵᏍᎫᏍᎦ	al¹sgu³²sga	he's nodding his head
ced	ᎠᎵᏍᏆᏗᎠ	al¹sgwạ²dị³ɂa	it's ending
ced	ᎠᎵᏍᏆᎷᏗᎠ	al¹sgwạ²lu²³dị³ɂa	he's sticking his head out
ced	ᎠᎵᏍᏇᏚᎩᎠ	al¹sgwe³tuh²gi³ɂa	he's taking his hat off
ced	ᎠᎵᏍᏇᏚᎲᏍᎦ	al¹sgwe³tụ²hṿ³ga	he's putting his hat on
ced	ᎠᎵᏍᏇᏚᏬ	al²sgwe¹tụ²wo	hat
ced	ᎠᎵᏐᏍᏗᎭ	al¹so²³sdị³ha	1. he's setting a goal 2.  he's aiming
ced	ᎠᎵᏒᏍᏗᎭ	al¹sv³²sdị³ha	he's smelling it  (sniff)
ced	ᎠᎹ	ạ²ma	water
ced	ᎠᎹ	a³ma	salt
ced	ᎠᎹᏢᏗᎢ	ạ²mahl³di⁴ɂi	water well
ced	ᎠᎹᏢᏙᏗ	ạ²mahl³doh²di	waterbucket
ced	ᎠᎹᏰᏟ	Ạ²mạ³ye³hli	United States
ced	ᎠᎹᏱ	ạ²ma²³yi	in water, into water
ced	ᎠᎹᏳᏟᏗ	ạ²ma²yuhl⁴di	1. shore 2. bank
ced	ᎠᎺᏉᎢ	ạ²me³gwo⁴ɂi	ocean
ced	ᎠᎾᏓᎪᎾᏘᏗᏍᎬᎢ	a¹nạ²da²go²nạ²tdi²³sgv⁴ɂi	contest
ced	ᎠᎾᏓᏟᏏᎭ	a¹nạ²da³hli²sị³ha	they are gathering
ced	ᎠᎾᎦᎵᎭ	a¹na³²ga²lị³ha	it's lightening
ced	ᎠᎾᎦᎵᏍᎩ	ạ²na¹ga²li²³sgi	1. lightning  2. electricity  3. battery
ced	ᎠᎾᏟᏅᏟ	ạ²nạ²hlị²nv⁴dli	brothers, (more than two)
ced	ᎠᎾᎵᎪᎲᏍᎦ	a¹nạ²li³go²hṿ³sga	1. they are getting together  2. they are dating  (when the dual form is used)
ced	ᎠᏁᏟᏗ	a¹nehl²³di	doll
ced	ᎠᏁᏟᏗᎭ	a³nehl²dị³ha	he's attempting it
ced	ᎠᏁᎳᏗᎠ	a¹ne²³lạ³dị²ɂa	he's getting married
ced	ᎠᏅᏓᏗᎠ	anh¹dạ²dị³ɂa	he's remembering him, it
ced	ᎠᏂ	ạɂ³ni	strawberry
ced	ᎠᏂᏙᎾᎠ	a¹ni²do³²nạ²ɂa	they are standing (congregation)
ced	ᎠᏂᏟᎾ	a¹ni²hlị³na	they are asleep  (two or more)
ced	ᎠᏂᎾ	a¹niɂ³na	they are sitting  (congregation)
ced	ᎠᏂᏁᎵ	ạ²ni²ne⁴li	her husband
ced	ᎠᏂᏍᏆᏂᎢ	Ạ²ni²sgwa²ni⁴ɂi	Mexico
ced	ᎠᏂᏲᏍᎩᎢ	ạ²ni²yọ³sgi⁴ɂi	military service
ced	ᎠᏂᏍᎬᏘ	An¹sgv²ti	May
ced	ᎠᏅᏱ	Ạ²nv²hyi	March
ced	ᎠᏌᏛᏍᎦ	a¹sạ²dv³²sga	he's setting a trap
ced	ᎠᏌᎳᏗᎠ	a¹sạ²lạ²dị³ɂa	he's lifting him, raising him, it
ced	ᎠᏌᎹᏗ	ạ²sạ²ma⁴di	smart
ced	ᎠᏌᏃ	a¹sạ²no	dress
ced	ᎠᏍᏓᎦᏴᏗᎭ	a¹sdạ²gayh²dị³ha	1. he's making it crisp  2. he's starching it
ced	ᎠᏍᏓᎦᏴᎯᎭ	a¹sdạ²gạ²yv²hị³ha	it's becoming crisp
ced	ᎠᏍᏓᏅᏅᎢ	a¹sdạ²nv²hnv⁴ɂi	line
ced	ᎠᏍᏓᏅᏅᏍᎦ	a¹sdạ²nv²hnṿ³sga	he's drawing a line
ced	ᎠᏍᏓᏩᏕᎦ	a¹sda³²wạ²de³ga	he's following him, it
ced	ᎠᏍᏕᎵᎭ	a¹sde²lị³ha	he's helping him
ced	ᎠᏍᏕᏲᎭ	a¹sde³yọ²ha	he's braiding it
ced	ᎠᏍᏗᎩᎠ	a¹sdi²³gị³ɂa	he's eating a long object
ced	ᎠᏍᏗᎩᏍᏗ	ạ²sdi²³gi¹sdi	something to eat (long)
ced	ᎠᏍᏙᎠ	a¹sdo³ɂa	he's crushing it
ced	ᎠᏍᏙᏍᎩᎢ	ạ²sdo¹sgi⁴ɂi	crusher
ced	ᎠᏍᏙᏰᎭ	a¹sdo²yẹ³ha	he's trimming it, (boy's hair, grass, hedge, but not paper, cloth)
ced	ᎠᏍᏚᎲᏍᎦ	a¹sdu³²hṿ²sga	1. he's closing it  2. he's jailing him
ced	ᎠᏍᏚᎢᎠ	a¹sdụ³ɂị²ɂa	he's opening it
ced	ᎠᏍᏛᎭᏟ	ạ²sdv²³hạ²hli	sandwich
ced	ᎠᏍᏛᎭᏢᏍᎦ	a¹sdv²³hạ³hlṿ²sga	he's sandwiching it
ced	ᎠᏎᏛ	a²se³dv³	maybe, perhaps
ced	ᎠᏎᎩ	ạ²se⁴gi	peculiar
ced	ᎠᏎᎮᎭ	a¹sẹ²he³ha	he's showing him
ced	ᎠᏎᏃ, ᎠᏎᏅ	a²se³hno, a²se³hnv	but
ced	ᎠᏎᏍᏗᎭ	a¹sẹ²sdị³ha	he's including him, it (in counting)
ced	ᎠᏎᏏᎭ	a³se²sị³ha	1. he's withdrawing (a motion)  2. he's withdrawing (his candidacy)  3. he's pulling it out (a drawer)
ced	ᎠᏎᏒᏓ	a¹se²³sv⁴da	withdrawn
ced	ᎠᏍᎦᎦ	a¹sga³²ga	he's reprimanding him
ced	ᎠᏍᎦᎭ	a¹sga³²ha	he's afraid
ced	ᎠᏍᎦᏟᎦ	a¹sgahl²ga	he's biting him, it
ced	ᎠᏍᎦᏂ	ạ²sgạ²hni	evil, sin
ced	ᎠᏍᎦᎾᎢ	ạ²sgạ²na⁴ɂi	sinner
ced	ᎠᏍᎦᏅᎦ	a¹sgạ²nv³²ga	he's committing a crime, sin
ced	ᎠᏍᎦᏯ	ạ²sgạ²ya	man
ced	ᎠᏍᎦᏰᎬᏍᏓ	ạ²sgạ²ye²gv⁴sda	handsome
ced	ᎠᏍᎦᏰᎬᏍᏓ	ạ²sgạ²ye²gv²³sda	officer
ced	ᎠᏍᎩᎾ	ạ²sgi²³na	demon, devil
ced	ᎠᏍᎩᏘᏍᎦ	a¹sgi²tsga	he's dreaming about him, it
ced	ᎠᏍᎪᎩᎠ	a¹sgo²gị³ɂa	he's gnawing it
ced	ᎠᏍᎪᏂᎭ	a¹sgo²³hnị³ha	he's mourning for him, it
ced	ᎠᏍᎪᎵᏰᎠ	a¹sgo²li²³yẹ³ɂa	he's rubbing him, it
ced	ᎠᏍᎪᎸᏗᎠ	a¹sgo²³lv³di²ɂa	he's erasing it
ced	ᎠᏍᎪᎸᏗᏍᏗ	a¹sgo²³lv⁴di¹sdi	eraser
ced	ᎠᏍᎪᎸᎦ	a¹sgo²³lv³²ga	it's fading
ced	ᎠᏍᎪᏍᎦ	a¹sgo²³sga	he's digging it
ced	ᎠᏍᎬᏓᎨᏂ	a²sgv²da²ge⁴ni	his shin
ced	ᎠᏍᏆᏗᎠ	a¹sgwạ²dị³ɂa	he's finishing it
ced	ᎠᏍᏆᎨᏂ	ạ²sgwa²ge⁴ni	his side
ced	ᎠᏍᏆᏞᎠ	a¹sgwa³²hlẹ²ɂa	he's catching a falling person, object
ced	ᎠᏍᏆᎳᎢ	ạ²sgwạ²la⁴ɂi	short
ced	ᎠᏍᏆᎶᎦ	a¹sgwạ²lo³²ga	1. it's getting shorter 2. he's getting short on
ced	ᎠᏍᏆᎵᏍᎦ	a¹sgwal³²sga	he's breaking a long object
ced	ᎠᏍᏆᎸᏂᎭ	a¹sgwạ²lv³nị²ha	he's hitting him on the head with a long object
ced	ᎠᏍᏆᏂ	Ạ²sgwa⁴ni	Mexican
ced	ᎠᏍᏆᏂᎪᏍᎦ	a¹sgwạ²nị²go²³sga	he's amazed
ced	ᎠᏍᏆᏄᏥᎦ	a¹sgwạ²nu³²tsga	he's sucking it
ced	ᎠᏍᏉᎭᎸᏂᎭ	a¹sgwo²hạ²lv³nị²ha	he's hitting him on the abdomen with a long object
ced	ᎠᏏᏔᏗᎠ	a¹sih²tạ²dị³ɂa	he's placing his hand on him, it
ced	ᎠᏏᏛᏂᎭ	a¹sih²tv³nị²ha	he's slapping him, it
ced	ᎠᏏᏁᎦ	a³si²ne³ga	he's backing up
ced	ᎠᏏᏂ	a¹si²ni	backwards
ced	ᎠᏏᏴᏫ	ạ²sị²yv⁴wi	individual, one person
ced	ᎠᏍᎪᎵ	ạ²sko⁴li	his head
ced	ᎠᏍᎳᏗᎠ	a¹slạ²dị³ɂa	he's roping him, it
ced	ᎠᏐᏲᎭ	a¹so²³hyọ³ha	he's building a fence
ced	ᎠᏐᏴᎢ	a¹so²³hyv⁴ɂi	fence
ced	ᎠᏐᎸᏓᎩᎠ	a¹so²lv²dạ²gi³ɂa	he's waving his hand
ced	ᎠᏐᏅᏍᏗᎭ	a¹son³²sdị³ha	he's pressing down on him, it
ced	ᎠᏐᏅᏍᎦ	a¹so²nv²sga	he's wounding him, it
ced	ᎠᏍᏘ	ạ²sti	1. string 2. thread
ced	ᎠᏑᎠ	a¹su³ɂa	he's sopping it
ced	ᎠᏑᎲᏍᎦ	a¹su²³hṿ³sga	he's fishing
ced	ᎠᏑᏫᏍᎦ	a¹su²³hwị³sga	he's painting it
ced	ᎠᏑᎳᎢᏴᎠ	a³su²lạ³ɂi²yv³ɂa	he's changing his pants
ced	ᎠᏑᎴᎠ	a³su²le³ɂa	he's taking his pants off
ced	ᎠᏑᎵᎠ	a³su²lị³ɂa	he's putting his pants on
ced	ᎠᏑᎵᎪᎦ	a¹su²lị²go³ga	he's quitting
ced	ᎠᏑᎶ	a¹su²lo	pants
ced	ᎠᏑᏍᏗ	ạ²su³sdi	gravy
ced	ᎠᏑᏰᎠ	a¹su²ye³ɂa	he's choosing him, it
ced	ᎠᏑᏰᎭ	a¹su³yẹ²ha	he's stirring it
ced	ᎠᏑᏴᏍᎦ	a¹su²yṿ³sga	he's mixing it in
ced	ᎠᏒᎦ	a¹sv³²ga	it smells
ced	ᎠᏒᏆᎶᏍᎩᎢ	ạ²sv²gwạ²lo¹sgi⁴ɂi	sawmill
ced	ᎠᏒᏢᎢ	a¹svh²dlv⁴ɂi	bridge
ced	ᎠᏒᏂᎭ	a¹sv²hnị³ɂha	he's touching him, it
ced	ᎠᏒᎲᏍᎦ	a¹sṿ²hṿ³sga	1. he, it's using it up 2. he's drinking, eating it up
ced	ᎠᏒᏃᏱ	Ạ²sv²no²³yi	Nighthawk
ced	ᎠᏔ	a⁴ta	young woman
ced	ᎠᏔᏝᏬᎯᏍᏗ	ạ²tạ²hlạ²wo²hị²sdi	rage
ced	ᎠᏔᏬᏍᏗᎭ	a¹tạ²hwo³sdị²ha	he's holding his breath
ced	ᎠᏔᎳᏗᎠ	a¹tạ²lạ²dị³ɂa	he's mooring a boat
ced	ᎠᏔᎴᏍᎦ	a¹tạ²le²sga	he's drilling a hole
ced	ᎠᏔᎴᏒᎢ	a¹tạ²le²sv⁴ɂi	hole
ced	ᎠᏔᏃᎴᎦ	a¹ta²no²³le³²ga	it's steaming
ced	ᎠᏔᏄᏣ	a²tạ²nu⁴ja	adolescent girl
ced	ᎠᏔᏍᎩᎠ	a¹tạ²sgi³ɂa	it's exploding
ced	ᎠᏔᏍᎩᏍᏗᎭ	a¹tạ²sgi³sdi²ha	he's exploding it
ced	ᎠᏔᏍᎩᏍᎩ	ạ²tạ²sgi⁴sgi	explosive
ced	ᎠᏔᏪᏙᎥᏍᎦ	a¹tạ²we²³dọ³ɂṿ²sga	he's kissing her
ced	ᎠᏔᏬᎠ	a¹tạ²wo³ɂa	he's combing someone's hair
ced	ᎠᏔᏲᎯᎭ	a¹tạ²yo²hị³ha	he's asking for it
ced	ᎠᏖᎳᏗᎠ	a¹tẹ²lạ²dị³ɂa	he's joining
ced	ᎠᏖᎵᏙ	ạte²li²³do	dish, plate
ced	ᎠᏖᎸᎲᏍᎦ	a¹te³lv²hṿ³sga	he's shaking him, it
ced	ᎠᏘᏟᏗ	ạ³tihl²di	shirt, blouse
ced	ᎠᏘᏂ	a¹tị³hni	he's leading him
ced	ᎠᏘᏲᎯᎭ	a¹tị²yo²³hị³ha	he's arguing
ced	ᎠᏘᏲᏍᏗ	ạ²tị²yo²³sdi	argument
ced	ᎠᏟ	a¹tli	he's running
ced	ᎠᏙᎩᏯᎠ	a¹toh²gi²³yạ³ɂa	1. he's racing 2. he's running for office
ced	ᎠᏙᎩᏯᏍᎩ	ạ¹toh²gi³ya¹sgi	1. candidate 2. racer
ced	ᎠᏙᎵᏓ	ạ²to²³lị²da	borrowed
ced	ᎠᏙᎵᏍᏗᎭ	a¹tol²sdị³ha	he's loaning it to him
ced	ᎠᏙᎵᏍᎦ	a¹tol²sga	he's borrowing him, it
ced	ᎠᏙᏯᏩᏍᎦ	a¹to²³yaw³²sga	it's flashing (reflected light)
ced	ᎠᏥᏍᏕᎠ	a¹tsde³ɂa	he's taking a bite
ced		booger	
ced		booger	
ced	ᎠᏥᎪᎥᏍᎦ	ạ²tsgo³ɂṿ²sga	he's lying
ced	ᎠᏚᎩᎠ	ạ¹tu²³gị³a	he's taking a drink (alcoholic beverage)
ced	ᎠᏚᎩᏍᏗ	ạ²tu²³gi⁴sdi	alcoholic beverage
ced	ᎠᏚᎢᏍᏗᎭ	a¹tụ³ɂị²sdị³ha	he's promising
ced	ᎠᏛᏓᏍᏗᎭ	a¹tv²da³²sdị²ha	he's listening to it, him
ced	ᎠᏛᏛᎲᏍᎦ	a¹tv²³dv³hṿ²sga	1. he's asking him a question., 2. he's asking a question
ced	ᎠᏛᎩᎠ	a¹tv²gi³ɂa	he hears him, it
ced	ᎠᏛᎯᏍᏗᎭ	a¹tṿ²hị²sdị³ha	1. he's raising him, it., 2. he's growing it., (plant)
ced	ᎠᏛᏍᎦ	a¹tṿ²sga	he, it's growing
ced	ᎠᏫᎾ	ạ²wi⁴na	young man
ced	ᎠᏫᏄᏣ	ạ²wi²nu⁴ja	adolescent boy
ced	ᎠᏬᎭᎵ	ạ²wo²³hạɂ³li	eagle
ced	ᎠᏯᎠ	a¹yạ³a	he's inside
ced	ᎠᏯᏄᎵ	a²yạ²nu⁴li	fast
ced	ᎠᏯᏙᎯᎭ	a¹ya³²tọ²hị³ha	he's distributing it
ced	ᎠᏯᏙᎯᎯ	ạ³ya¹tọ²hị²hi	1. one who distributes, 2. deacon
ced	ᎠᏯᏙᏢᎢ	a¹ya³²tọ²hlv⁴ɂi	chapter
ced	ᎠᏰᎦ	a¹ye³ga	he's waking up
ced	ᎠᏰᏟ	ạ²ye⁴hli	1. center, middle., 2. half., 3. half dollar
ced	ᎠᏰᎢᏍᏗᎭ	a¹ye³ɂị²sdị²ha	he's waking him up
ced	ᎠᏰᎸᎢ	ạ²ye²lv⁴ɂi	his body
ced	ᎠᏰᏗᎭ	ayh¹dịha	he's putting him inside, (somewhere large enough to move around).
ced	ᎠᏰᎦ	ayh³ga	it's crowing, (rooster)
ced	ᎠᏱᎭ	a¹yị³ha	1. he's getting a long object., 2. he's picking up a long object.
ced	ᎠᏲᏓᏝᎲᎢ	a¹yo²da²³hlạ²hv⁴ɂi	floor
ced	ᎠᏲᎦ	a¹yo³ga	1. it's breaking  2. he's becoming spoiled
ced	ᎠᏲᎯᎭ	a¹yo²hị³ha	he's shooting him, it
ced	ᎠᏲᎯᏍᏗᎭ	a¹yọ³hị²sdị³ha	he's taking a break
ced	ᎠᏲᏟ	ạ²yo⁴hli	1. child, 2. small object
ced	ᎠᏲᏢᏍᎦ	a¹yo²hlṿ³sga	1. he's whittiling it., 2. he's carving it., 3. he's hewing it.
ced	ᎠᏲᎱᎯᏍᏗ	ạ²yo²hu²hị²sdi	death
ced	ᎠᏲᎱᏍᎦ	a¹yo²hu²sga	he's dying, (human)
ced	ᎠᏲᎢᏍᏗᎭ	a¹yọ³ɂi²sdị³ha	he's breaking it up
ced	ᎠᏲᎵᎭ	a¹yo³lị²ha	he's greeting him
ced	ᎠᏲᏍᏗᎭ	a¹yo³sdị²ha	1. he's breaking it., 2. he's spoiling him.
ced	ᎠᏲᏍᎩ	ạ³yọ²sgi	soldier
ced	ᎠᏲᏍᏔᏃᎲᏍᎦ	a¹yo³stạ²nọ³hṿ³sga	he, it's destroying it
ced	ᎠᏲᎤᏟ	ạ²yọ²ɂu⁴hli	lame, crippled
ced	ᎠᏯ, ᎠᏴ	ạ²ya, ạ²yv	I, me, we, us., (see Gram. III, A)
ced	ᎠᏴᎯᎭ	a¹yv²hị³ha	he's entering it
ced	ᎠᏴᏩᏘᎭ	a¹yv²hwah²tị³ha	he's finding a long object
ced	ᎠᏴᏫᏗᎭ	a¹yv²hwi²dị³ha	he's taking a long object somewhere
ced	ᎠᏴᏍᏙᏗᎢ	ạ¹yv²sdoh³di⁴ɂi	entrance
ced	ᎠᏴᏫ, ᏴᏫ	ạ²yv²wi, yv²wi	person, human, people
ced	ᎠᏴᏫᏯᎢ	Ạ²yv²wi²ya⁴ɂi	Indian
ced	ᎠᏴᏭᏁᎦ, ᎠᏲᏁᎦ	ạ²yv³wụ³ne²ga, ạ²yo³ne²ga	white person
ced	ᏣᏁᎳ, ᏧᏁᎳ	chạ²ne²³la, chụ²ne²³la	eight
ced	ᏥᏃᏍᎦ	chị²no²sga	coal
ced	ᏧᎦ	chuh²ga	flea
ced		d-	(see de-)
ced		da-	future tense, (see Gram. I, A)
ced		da-	motion towards speaker (see Gram. I, A)
ced	ᏓᏓᎿᏫᏍᏗᎭ	da¹da²hnaw³²sdị³ha	He's making an X
ced	ᏓᏓᎿᏫᏍᏛᎢ ᏅᏃᎯ	da¹da²hnaw³²sdv⁴ɂi nv²no²³hi	crossroads
ced	ᏓᏓᏁᏎᎠ	da¹da²hne²se³ɂa	he's conjuring
ced	ᏓᏓᏂᎸᎦ	da¹dạ²ni²lv³ga	he's accepting him, it
ced	ᏓᏓᏅᏗᏍᏗᎭ	da¹dạ²nv²³di³²sdị²ha	he's dodging
ced	ᏓᏓᏬᎠ	da¹da²wo³ɂa	he's performing a baptism
ced	ᏓᏓᏲᏍᎦ	da¹da²yọ³sga	he's giving up
ced	ᏓᏕᏲᎲᏍᎦ	da¹de²yo²³hṿ³sga	he's teaching
ced	ᏓᏠᏱᎭ	da¹dlo²hyị³ha	he's weeping
ced	ᏓᎦᏨᏍᏗᎭ	da¹gạ²chv³sdị²ha	he's being married
ced	ᏓᎬᎾ	dạ²gv²³na	1. oyster, 2. pearl, 3. pimple
ced	ᏓᎬᏩᎶᏗᎭ	da¹gv²wahl²dị³ha	he's setting a price
ced	ᏓᏆᎴᎳ	dạ²gwạ²le³la	car, wagon
ced	ᏓᏟᎨᎭ	da¹hlih²gẹ³ha	he, it's rocking
ced	ᏓᏟᎶᏍᏗᎭ	da¹hli²lo³sdị²ha	1. he's drawing a picture of him, it; 2. he's photographing him, it
ced	ᏓᏟᏃᎮᎭ	da¹hlị²no²hẹ³ha	he's conversing
ced	ᏓᎵᏔᏕᎦ	dahl¹tạ²de³ga	he's jumping
ced	ᏓᎾᏩ	da²hnạ²wa	war
ced	ᏓᎿᏩᎢᏴᎠ	da¹hnạ²wạ³ɂi²yv³ɂa	he's changing clothes
ced	ᏓᎿᏪᎠ	da¹hnạ²we³ɂa	he's undressing
ced	ᏓᎿᏬᎠ	da¹hnạ²wo³ɂa	he's putting on clothes
ced	ᏓᏄᎪᎢ	Da²hnu³go⁴ɂi	Vian
ced	ᏓᎲᏛᏍᎦ	da¹hv²tṿ³sga	He's putting fuel (solid) into a fire
